,output_First,output_Second,output_Upstream,output_Total
HUN_86T88,1000.0,7094.0,338106.0,346200.0
HUN_90T96,1000.0,7094.0,338106.0,346200.0
HUN_97T98,1000.0,7094.0,338106.0,346200.0
ISL_01T03,1000.0,7094.0,338106.0,346200.0
ISL_05T06,1000.0,7094.0,338106.0,346200.0
ISL_07T08,1000.0,7094.0,338106.0,346200.0
ISL_09,1000.0,7094.0,338106.0,346200.0
ISL_10T12,1000.0,7094.0,338106.0,346200.0
ISL_13T15,1000.0,7094.0,338106.0,346200.0
ISL_16,1000.0,7094.0,338106.0,346200.0
ISL_17T18,1000.0,7094.0,338106.0,346200.0
ISL_19,1000.0,7094.0,338106.0,346200.0
ISL_20T21,1000.0,7094.0,338106.0,346200.0
ISL_22,1000.0,7094.0,338106.0,346200.0
ISL_23,1000.0,7094.0,338106.0,346200.0
ISL_24,1000.0,7094.0,338106.0,346200.0
ISL_25,1000.0,7094.0,338106.0,346200.0
ISL_26,1000.0,7094.0,338106.0,346200.0
ISL_27,1000.0,7094.0,338106.0,346200.0
ISL_28,1000.0,7094.0,338106.0,346200.0
ISL_29,1000.0,7094.0,338106.0,346200.0
ISL_30,1000.0,7094.0,338106.0,346200.0
ISL_31T33,1000.0,7094.0,338106.0,346200.0
ISL_35T39,1000.0,7094.0,338106.0,346200.0
ISL_41T43,1000.0,7094.0,338106.0,346200.0
ISL_45T47,1000.0,7094.0,338106.0,346200.0
ISL_49T53,1000.0,7094.0,338106.0,346200.0
ISL_55T56,1000.0,7094.0,338106.0,346200.0
ISL_58T60,1000.0,7094.0,338106.0,346200.0
ISL_61,1000.0,7094.0,338106.0,346200.0
ISL_62T63,1000.0,7094.0,338106.0,346200.0
ISL_64T66,1000.0,7094.0,338106.0,346200.0
ISL_68,1000.0,7094.0,338106.0,346200.0
ISL_69T82,1000.0,7094.0,338106.0,346200.0
ISL_84,1000.0,7094.0,338106.0,346200.0
ISL_85,1000.0,7094.0,338106.0,346200.0
ISL_86T88,1000.0,7094.0,338106.0,346200.0
ISL_90T96,1000.0,7094.0,338106.0,346200.0
ISL_97T98,1000.0,7094.0,338106.0,346200.0
IRL_01T03,1000.0,7094.0,338106.0,346200.0
IRL_05T06,1000.0,7094.0,338106.0,346200.0
IRL_07T08,1000.0,7094.0,338106.0,346200.0
IRL_09,1000.0,7094.0,338106.0,346200.0
IRL_10T12,1000.0,7094.0,338106.0,346200.0
IRL_13T15,1000.0,7094.0,338106.0,346200.0
IRL_16,1000.0,7094.0,338106.0,346200.0
IRL_17T18,1000.0,7094.0,338106.0,346200.0
